,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8,Bankruptcies_monthly,BusinessOutlook_Industry_monthly,BusinessOutlook_Retail_monthly,Consumentenvertrouwen_1_monthly,EconomischKlimaat_2_monthly,Koopbereidheid_3_monthly,EconomischeSituatieLaatste12Maanden_4_monthly,EconomischeSituatieKomende12Maanden_5_monthly,FinancieleSituatieLaatste12Maanden_6_monthly,FinancieleSituatieKomende12Maanden_7_monthly,GunstigeTijdVoorGroteAankopen_8_monthly,CPI_1_monthly,CPIAfgeleid_2_monthly,MaandmutatieCPI_3_monthly,MaandmutatieCPIAfgeleid_4_monthly,ProducerConfidence_1_monthly,ExpectedActivity_2_monthly,CHN_monthly,JPN_monthly,FRA_monthly,USA_monthly,DEU_monthly,CAN_monthly,G20_monthly,IMP_advanceEconomies_monthly,EXP_advancedEconomies_monthly,IMP_EuroArea_monthly,Exp_EuroArea_monthly,InterestRatesNLD_monthly,M3_1_monthly,M3_2_monthly,M1_monthly,EA_monthly,US_monthly,UK_monthly,AEX_close_monthly
1996-04-01,119388.0,49327.0,59897.0,27660.0,22683.0,18307.0,4352.0,820.0,57253.0,42079.0,39949.0,4.6,470.3333333333333,,,3.6666666666666665,0.3333333333333333,5.0,-1.3333333333333333,2.3333333333333335,3.6666666666666665,10.333333333333334,1.3333333333333333,68.41333333333334,72.68333333333334,0.65,0.65,-2.1333333333333333,9.366666666666665,101.1186,101.8523,98.51015666666666,98.76764666666666,99.25833,98.41258333333333,100.03951333333333,,,,,,237981.0,221420.0,69403.33333333333,5.63,5.4040333333333335,6.277533333333333,234.18946866666667
1996-07-01,120719.0,49605.0,60203.0,27837.0,24149.0,19564.0,4555.0,853.0,56936.0,42764.0,47685.0,4.0,457.6666666666667,,,0.0,-10.333333333333334,6.666666666666667,-11.666666666666666,-9.666666666666666,5.333333333333333,13.0,2.3333333333333335,68.92,73.21666666666667,-0.10000000000000002,-0.10000000000000002,-2.3333333333333335,7.633333333333333,102.38886666666667,102.22033333333333,98.51502666666666,99.25914333333333,99.20803000000001,99.16867,100.32796666666667,,,,,,244919.66666666666,227972.33333333334,74993.66666666667,5.136666666666667,5.5196,6.045266666666667,254.87740566666665
1996-10-01,122410.0,50984.0,60857.0,28075.0,24906.0,20299.0,4567.0,799.0,58409.0,43266.0,40482.0,3.7,447.3333333333333,,,10.0,9.0,10.666666666666666,5.666666666666667,12.333333333333334,8.0,18.666666666666668,5.666666666666667,68.98666666666666,73.3,0.3333333333333333,0.3666666666666667,-1.3333333333333333,8.466666666666667,104.50266666666666,102.38656666666667,98.27574,99.57515333333333,99.55025333333333,99.78679333333334,100.60343333333333,,,,,,246989.0,230151.66666666666,75122.33333333333,5.0,5.5944666666666665,5.840633333333333,251.64949533333333
1997-01-01,123280.0,52800.0,61743.0,28262.0,26077.0,21296.0,4736.0,447.0,59372.0,43911.0,42792.0,3.3,483.6666666666667,,,15.333333333333334,21.666666666666668,10.666666666666666,19.333333333333332,24.0,7.333333333333333,20.0,5.0,69.45,73.80333333333333,0.0,0.0,-1.3,7.466666666666666,104.43376666666666,102.20870000000001,97.95771333333334,99.80518000000001,99.91902333333333,100.28373333333333,100.69006666666667,,,,,,247773.33333333334,230862.33333333334,77463.0,4.586666666666667,5.5334666666666665,6.278966666666666,280.78837100000004
1997-04-01,124625.0,54295.0,62386.0,28552.0,25593.0,21100.0,4443.0,197.0,61933.0,44418.0,42212.0,6.0,483.3333333333333,,,19.0,27.333333333333332,13.0,28.0,26.666666666666668,11.0,20.333333333333332,8.0,69.72000000000001,73.91,0.3666666666666667,0.26666666666666666,1.2666666666666666,13.166666666666666,102.87206666666667,101.7124,98.14149666666667,100.12646,100.23073333333332,100.80453333333332,100.75086666666668,,,,,,254293.33333333334,237388.66666666666,80299.33333333333,4.44,5.571433333333334,6.335833333333333,325.83533733333337
1997-07-01,125922.0,56102.0,62840.0,28685.0,26204.0,21569.0,4581.0,905.0,63156.0,45030.0,50102.0,5.3,456.3333333333333,,,23.333333333333332,33.0,17.333333333333332,37.333333333333336,28.0,14.666666666666666,23.666666666666668,13.0,70.19333333333333,74.38666666666667,-0.06666666666666665,-0.06666666666666665,1.2,9.366666666666667,100.9421,101.1438,98.72190666666667,100.54273333333333,100.56880000000001,101.32456666666667,100.76983333333334,,,,,,260255.33333333334,243057.33333333334,84081.66666666667,4.326666666666667,5.814366666666667,6.550366666666666,365.424815
1997-10-01,127752.0,57170.0,63466.0,28955.0,26083.0,21382.0,4652.0,1214.0,64893.0,45652.0,42545.0,5.4,443.6666666666667,,,24.333333333333332,32.333333333333336,19.666666666666668,37.333333333333336,27.0,17.666666666666668,24.0,17.0,70.58666666666666,74.84333333333335,0.5,0.5333333333333333,3.733333333333333,11.833333333333334,98.84932333333332,100.31633666666666,99.30688333333335,100.87676666666668,100.85223333333333,101.53496666666666,100.5834,,,,,,263405.0,246297.33333333334,83803.0,4.323333333333333,5.731366666666666,7.193933333333334,419.2373453333333
1998-01-01,129391.0,58403.0,64332.0,29204.0,26246.0,21573.0,4620.0,1806.0,65924.0,46602.0,45168.0,5.8,465.6666666666667,,,25.333333333333332,33.333333333333336,20.0,38.333333333333336,29.0,17.666666666666668,25.666666666666668,16.0,71.08666666666666,75.38333333333333,-0.06666666666666667,-0.06666666666666667,4.033333333333333,10.200000000000001,97.72030333333333,99.16383333333333,99.70513,100.96086666666667,100.9859,101.14596666666667,100.16969999999999,,,,,,269160.0,251977.0,87665.66666666667,4.433333333333334,5.8379666666666665,7.566733333333333,401.59125766666665
1998-04-01,131136.0,59925.0,65113.0,29664.0,27592.0,22741.0,4790.0,2432.0,66140.0,47568.0,45270.0,7.5,458.6666666666667,,,28.0,37.666666666666664,21.666666666666668,45.333333333333336,30.333333333333332,20.666666666666668,27.333333333333332,17.0,71.17333333333333,75.29333333333334,0.3666666666666667,0.23333333333333336,2.533333333333333,8.333333333333334,97.53536333333334,98.15354333333333,100.15894333333334,100.80376666666666,100.92913333333333,100.54753333333333,99.69095666666665,,,,,,281211.0,264213.3333333333,90650.33333333333,4.203333333333333,5.657066666666666,7.565366666666667,476.9841613333333
1998-07-01,132075.0,60317.0,66323.0,29909.0,27132.0,22427.0,4643.0,1136.0,67720.0,48127.0,53415.0,6.8,432.3333333333333,,,32.333333333333336,42.333333333333336,26.0,50.666666666666664,33.666666666666664,23.333333333333332,28.0,27.0,71.73333333333333,75.88333333333334,-0.06666666666666668,-0.06666666666666668,2.766666666666667,10.1,98.21599666666667,97.45393333333334,100.68163333333332,100.39043333333335,100.68346666666666,99.50977,99.20818000000001,,,,,,295393.0,278164.3333333333,98484.33333333333,4.056666666666666,5.689333333333333,7.579133333333334,533.408956
