,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8,Bankruptcies,BusinessOutlook_Industry,BusinessOutlook_Retail,Consumentenvertrouwen_1,EconomischKlimaat_2,Koopbereidheid_3,EconomischeSituatieLaatste12Maanden_4,EconomischeSituatieKomende12Maanden_5,FinancieleSituatieLaatste12Maanden_6,FinancieleSituatieKomende12Maanden_7,GunstigeTijdVoorGroteAankopen_8,CPI_1,CPIAfgeleid_2,MaandmutatieCPI_3,MaandmutatieCPIAfgeleid_4,ProducerConfidence_1,ExpectedActivity_2,CHN,JPN,FRA,USA,DEU,CAN,G20,IMP_advanceEconomies,EXP_advancedEconomies,IMP_EuroArea,Exp_EuroArea,InterestRatesNLD,M3_1,M3_2,M1,EA,US,UK,AEX_close
7/1/2021,196201,150347,83982,49241,40301,33666,6628,926,172267,105703,95883,5.4,-13,17.56666667,16.9,-5.333333333,-15.33333333,1.333333333,-53.66666667,23.33333333,0.666666667,10.66666667,-6.333333333,109.7866667,107.9533333,0.266666667,0.266666667,7.533333333,18.16666667,101.0286667,100.6546,101.2002667,101.3272,102.5648667,102.9861667,101.3488667,-0.233333333,-0.166666667,-0.266666667,-0.1,1.686666667,8907,8093,6638.666667,-0.5426,0.1387,0.0799,15.58333333
10/1/2021,197575,148510,84038,49649,40748,34047,6692,1002,171049,107750,107757,4,0.333333333,12.93333333,6.433333333,-7,-11.33333333,-4,-33,9.666666667,-4.333333333,6,-13,111.2266667,109.3733333,0.6,0.6,8.866666667,15.93333333,99.88965667,100.6636,101.7139333,101.1736667,102.7566667,103.1841333,101.0542667,0.366666667,0.2,1.366666667,0.333333333,1.653333333,6925.333333,6602.333333,7051.666667,-0.547466667,0.1248,0.099133333,18.86665833
1/1/2022,198597,151432,84684,49407,40462,33921,6533,1451,174330,109971,103207,8.2,-0.333333333,0.833333333,-2.9,-24.66666667,-37,-16.33333333,-47.66666667,-27.33333333,-16,-5.333333333,-26.66666667,113.9033333,112.35,0.7,1,7.966666667,14.16666667,98.99410667,100.6015333,101.6063667,101.0260333,102.2376,102.9576,100.6406667,2.1,0.866666667,0.966666667,0.966666667,1.656666667,4399.666667,3652.333333,3740.666667,-0.569833333,0.206533333,0.276333333,-18.569987
4/1/2022,201974,153057,85763,49686,41715,35320,6398,112,178134,111316,122153,6.8,-3.666666667,3.266666667,-2.566666667,-39,-57.66666667,-26.66666667,-64.66666667,-50.66666667,-26,-16.66666667,-36.66666667,118.18,117.3566667,1.5,1.6,6.233333333,10.43333333,98.21378667,100.5689,100.8096667,100.6153667,101.3746,102.2588667,100.02714,0.166666667,-0.333333333,1.133333333,0.066666667,1.776666667,11594.66667,10730.33333,10479.33333,-0.4916,0.7904,0.982333333,-14.74001067
7/1/2022,202347,153794,86593,49990,41310,34784,6483,504,177949,114163,104969,8,10,-4.5,-11.86666667,-49.33333333,-69.33333333,-36,-78.66666667,-60,-35.66666667,-19,-53.33333333,119.89,119.6033333,0.5,0.766666667,5.1,8.8,97.59926333,100.4938333,99.83841333,99.79648,100.2666733,100.7286333,99.33234,0.1,0.7,-0.366666667,0.033333333,2.226666667,12317.66667,12072,6127.666667,-0.1961,2.015366667,1.5775,6.153340667
10/1/2022,203572,154851,87547,50531,41991,35651,6305,-481,179048,116243,118114,7.9,26.66666667,-14.16666667,-24.33333333,-57.33333333,-76,-44.66666667,-88.33333333,-64.33333333,-46.33333333,-28.33333333,-59.66666667,126.3633333,127.02,1.833333333,1.933333333,1.5,6.4,97.47795,100.2995333,99.27236,99.15285667,99.39803333,99.25682,98.88646667,0.366666667,0.6,0.8,1.433333333,2.846666667,6472,7148.666667,713.6666667,0.944433333,3.514066667,2.8414,-19.606669
1/1/2023,202568,154500,87129,50828,42853,36376,6464,-1521,178476,118577,112697,8,13.33333333,-11.36666667,-24.3,-52.33333333,-66.33333333,-43.33333333,-85.33333333,-47,-47.66666667,-21.33333333,-60.66666667,124.1666667,124.13,-1.3,-1.733333333,1.066666667,9.333333333,98.11947,100.0512867,98.98914,98.86832667,99.44214,98.57891333,98.92578333,-1.133333333,-0.966666667,-1.433333333,-1.433333333,3.38,-8351,-8003,-13590.33333,2.077866667,4.731133333,3.773066667,24.856669
4/1/2023,201838,154145,85839,51411,42889,36389,6550,318,176167,120300,131673,7.9,-13,-2.433333333,-5.966666667,-40,-50,-33.33333333,-76,-23.33333333,-39.33333333,-6.666666667,-54,125.06,124.1566667,0.733333333,0.733333333,0.5,8.8,99.17504333,100.0022767,98.77914667,98.83315,99.74348333,98.29333333,99.27434,-0.5,-0.733333333,0.233333333,-0.766666667,3.603333333,-3679.666667,-3794,-8990.666667,2.905966667,5.063666667,4.353333333,4.433329333
7/1/2023,201349,149943,85656,52086,41816,35084,6640,-727,172567,122408,112442,7.2,8,-3.866666667,-6.833333333,-38.66666667,-53.66666667,-28.66666667,-74,-33.33333333,-31,-4.333333333,-51,126.4066667,125.3666667,0.3,0.2,-2.366666667,6.566666667,100.0428667,100.0860333,98.699,99.07266333,99.40224,98.03647,99.63362333,-0.8,0.133333333,-1.133333333,-0.066666667,3.886666667,2299,2191.333333,-6452,3.5247,5.4962,5.1022,11.17000333
10/1/2023,202061,150288,87255,52436,41058,34528,6487,-1053,172475,124645,127017,7.4,29.66666667,-6.033333333,-7.666666667,-39,-56.33333333,-28,-75,-37.33333333,-29.33333333,-4.666666667,-49.66666667,127.53,126.2166667,0.133333333,0.166666667,-4.066666667,3.5,100.6419333,100.0855333,98.84195667,99.32624667,99.08838,97.88983,99.86230667,-0.066666667,0.666666667,-1.4,-0.3,3.946666667,-2355.666667,-2075.333333,-6451,3.875966667,5.654633333,5.482666667,-24.46667467
1/1/2024,202774.1571,151620.5823,87491.71857,52819.06039,41974.85621,35571.78065,6513.932158,-788.0950882,173548.6309,126649.5724,124092.3891,7.42636426,39.33333333,-3.866666667,-3.8,-30,-42.33333333,-21.66666667,-62.33333333,-22.33333333,-24.66666667,1,-40.33333333,126.6533333,125.1533333,-0.166666667,-0.333333333,-4.233333333,2.933333333,101.1009,99.89755,99.10536333,99.56493667,99.19968667,98.13378,100.1095567,-2,-0.8,-0.5,0.7,4.1,-5687,-5985.666667,-6695.333333,3.943333333,5.616,5.340133333,33.20334867
4/1/2024,203487.3141,152701.8924,87742.61419,53202.38889,42208.1582,35836.73989,6517.875018,-801.6529386,174593.6593,128668.8268,125042.2066,7.453019686,-21.87766104,-2.609798229,-6.042129384,-22.82624409,-35.80472959,-14.65618795,-44.21679264,-26.52773573,-12.59997506,3.554559728,-33.91615057,128.3776065,126.5596044,0.427699459,0.439724102,-4.6,3.863336642,101.6228667,99.82226939,99.37436909,99.98258629,99.51668452,98.8067764,100.4798656,0.136999933,0,0,-0.058650036,3.843976303,1441.67389,1378.776569,368.2875342,3.922003292,5.581693796,5.317984712,20.94000233
7/1/2024,204200.4711,153783.2025,87993.50981,53585.71739,42441.46018,36101.69913,6521.817879,-815.210789,175638.6877,130688.0812,125992.0241,7.479675112,-25.72124722,-3.986514034,-7.496469903,-18.68563903,-30.50518764,-12.61394366,-30.79202473,-26.58320718,-8.213337403,4.663679184,-31.35685841,128.515599,127.0900244,0.085892103,0.02206347,-4.8,3.426934292,101.7024,99.91952233,99.39283758,100.1097149,99.6035563,99.28066803,100.5869123,0.174082994,0,0,0.013168376,3.747349598,2050.717709,1898.13371,853.3891015,3.919104522,5.586255246,5.302148971,2.002137809
